comment_id,comment_text,true_aspect,true_sentiment,confidence,course
http://example.org/tic-absa/comment/5ea9dac9ec4a89a9a8001476,estamos perjudicados por este tema algunos si en tal caso debería hacer preguntas concretas que existan en el desarrollo del tema por que si no lastimosamente nuestro esfuerzo y dedicación esta dado de menos en los TEST.,Tutoria,Neutral,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5e972fd2ec4a897eb1000a5f,es algo que me llama mucho la atención y que quisiera aprender,General,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5ed2c251ec4a8995340039bb,Creo que el aprender es muy importante,General,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/59e536c7ec4a89af17000bec,me parece muy interesante y que me llamó mucho la atención,Actividades,Positivo,0.9,course-v1:UTPL+HG-Ed6+2017_OCT
http://example.org/tic-absa/comment/5ace8f82ec4a8964870018a4,poder cumplir correctamente con todas las actividades del curso,Contenido,Positivo,0.9,course-v1:UTPL+HG-Ed8+2018_1
http://example.org/tic-absa/comment/5ed1a3a0ec4a89a9a8003c8b,todos debemos subir las actividades de repaso??,Actividades,Neutral,0.8,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5e94f7a8ec4a8974b000090a,La plataforma me parece fácil de usar y se encuentra todo organizado.,Plataforma,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5e952345ec4a89115400007c,este tipo de capacitaciones son muy importantes,General,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5e9a20e1ec4a89e2a50003b1,tome este curso con el objteivo de adquirir conocimientos,Actividades,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5eda6ec1ec4a899534003eec,las fechas e indicaciones estaban claramente indicadas en la actividad.,Actividades,Neutral,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/59ebf5beec4a896487000d69,hola soy Alejandra un gusto estar en este curso.,General,Positivo,0.9,course-v1:UTPL+HG-Ed6+2017_OCT
http://example.org/tic-absa/comment/5e963672ec4a8927a2000581,me es grato aprender mediante este curso.,Plataforma,Negativo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5e95e1efec4a891987000309,con este curso deseo profundizar y desarrollar más conocimientos acerca del agro.,General,Positivo,0.9,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5eba0ec9ec4a899534002681,que hay que subir la actividad que se hizo con el crucigrama,Actividades,Neutral,0.8,course-v1:UTPL+HG13+2020_1
http://example.org/tic-absa/comment/5ee2d274ec4a8995340042a9,Yo envié el trabajo a tiempo pero no se envió.,Actividades,Negativo,0.9,course-v1:UTPL+HG13+2020_1
