base_course,course_id,comment_id,comment_created_at,text,word_count,votes,thread_id,thread_title,thread_created_at,parent_id
HG,course-v1:UTPL+HG+2016,583d9349ec4a894498000628,,"Son factores que van estrechamente en relación el autoconsumo comercialización, ya que la producción urbana se refiere explícitamente a pequeñas superficies como solares, huertos, márgenes, terrazas, recipientes situadas dentro de una ciudad para el consumo propio. La agricultura periurbana refiere a unidades agrícolas cercanas a una ciudad que explotan intensivamente granjas comerciales o semicomerciales para cultivar hortalizas y otros productos hortícolas para comercialixzacion en mayor canti",66,0,583d33daec4a896c9b0005b3,"autoconsumo, comercialización ",,
HG,course-v1:UTPL+HG+2016,583d970fec4a896c9b0005b6,,"el autoconsumo se da debido a que o consumo de uno mismo de lo que produce en pequeñas cantidades sin fines de lucro en pequeñas cantidades de terreno, la comercialización se la realiza en producciones a mayor escala para obtener ganancias sustentar el consumo a muchas personas del medi.",49,0,583cf5b0ec4a89c761000548,FORO 01,,
HG,course-v1:UTPL+HG+2016,583d9944ec4a896c9b0005b7,,"urbana para la satisfaccióny sustento personal,y la que se comercializa la periurbana producción destinadas para comerio",16,0,583cf448ec4a89449800061c,Producción alimentos,,
HG,course-v1:UTPL+HG+2016,583da18cec4a89c761000551,,Tienen mucha relación ya que la producción que obtienen tanto de comercialización también la utilixan para el consumo personal. Y sustento familiar..,22,0,583ce9a7ec4a8938d40005a5,agricultura urbana y periurbana ,,
HG,course-v1:UTPL+HG+2016,583dc556ec4a896c9b0005c7,,"El autoconsumo y la comercialización se relacionan porque es una producción comunitaria o familiar orientada al mercado. Ya sea agricultura urbana que consiste en aprovechar los espacios vacantes, terrenos sin aprovechar que es dentro de la ciudad y es mas para consumo propio. La agricultura Periurbana esta es una producción más convencional por utilizar químicos, está más orientada a la comercialización y provee mayor empleo e ingreso.",67,0,583d33daec4a896c9b0005b3,"autoconsumo, comercialización ",,583d9349ec4a894498000628
HG,course-v1:UTPL+HG+2016,583dcb74ec4a8938d40005b6,,La producción de alimentos puede ser para el autoconsumo o su comercialización. En el autoconsumo interviene la producción familiar y la comercialización de los excedentes que es la agricultura urbana. La producción orientada a su comercialización es la agricultura Periurbana que consiste en el uso de la tecnología para el uso de espacios disponibles aptos para la agricultura rural el incremento y enriquecimiento de suelos para las buenas prácticas agrícolas necesaria en la producción de aliment,76,0,583cf448ec4a89449800061c,Producción alimentos,,
HG,course-v1:UTPL+HG+2016,583dfb90ec4a89449800063f,,"La agricultura urbana esta orientada mas al auto consumo de cada familia que se dedica a cultivar sus propios alimentos, esto lo hacen de acuerdo a sus necesidades y orientados también a cuidarse personalmente siendo mas sano y de mejor calidad los cultivos realizados. La agricultura peri urbana esta enfocada mas bien al sistema de comercialización y así una fuente de trabajo dependiendo de la magnitud del cultivo. Realizando de esta su sustento económico en las familias.",77,0,583df319ec4a89449800063b,Agricultura urbana y periurbana,,
HG,course-v1:UTPL+HG+2016,583e533cec4a89c761000575,,Tomando en cuenta cada uno de los conceptos se puede concluir que ambos se adaptan a los objetivos de la producción de alimentos tanto en autoconsumos como en comercialización. Debido a que con una agricultura urbana podremos obtener el autoconsumo y poder usar una agricultura periurbana para que esta se inclina a la comercialización.,54,0,583e48ecec4a894498000653,Agricultura Urbana y Periurbana,,
HG,course-v1:UTPL+HG+2016,583ef5a3ec4a89449800065f,,"Si es cierto y claro lo que el compañero menciona, por lo menos debe existir algún puntaje en estos casos.",20,2,583ed2e3ec4a89449800065a,TEST 1,,
HG,course-v1:UTPL+HG+2016,583f007bec4a8938d40005e0,,"Yo estoy de acuerdo, porque a la final son validas",10,0,583ed2e3ec4a89449800065a,TEST 1,,583ef5a3ec4a89449800065f
HG,course-v1:UTPL+HG+2016,584053e8ec4a8938d40005fc,,"Por ende la urbana se adapta mejor a los objetivos porque la mayoría de personas tienen un jardín en sus hogares y se ha demostrado que se puede hacer huertos en dichos jardines, incluso existen ciudades en otros países con parques enteros llenos de frutales que lo pueden consumir los habitantes.",51,0,58405014ec4a8938d40005fa,Buenos Días,,
HG,course-v1:UTPL+HG+2016,58408b0fec4a8938d4000607,,"Yo también estoy de acuerdo, mal calificadas o preguntas mal planteadas. Por favor sería bueno rectificar",16,0,583f6ff9ec4a89c76100058f,Test 1,,
HG,course-v1:UTPL+HG+2016,5840bf4dec4a8938d400060e,,"Yo tengo el mismo problema, las respuestas se contradicen con el contenido de las diapositivas",15,0,583ed2e3ec4a89449800065a,TEST 1,,583ef5a3ec4a89449800065f
HG,course-v1:UTPL+HG+2016,5841999cec4a89c7610005c4,,Espero que estos errores sean corregidos y las notas del test reflejen los verdaderos conocimientos de los estudiantes.,18,0,58419892ec4a896c9b000633,Inconformidad con las respuestas del Test 1,,
HG,course-v1:UTPL+HG+2016,5841a19cec4a8938d4000626,,Saludos. Las preguntas del test1 se contradicen con lo expuesto en las diapositivas. Espero puedan rectificar pues perjudicará la evaluación,20,0,583f6ff9ec4a89c76100058f,Test 1,,
HG,course-v1:UTPL+HG+2016,5843492dec4a89c7610005ee,,"Muy bien compañera, comparto su aclaración, ya me estaba frustrando con el test, pensé que no entendí nada.",18,1,58431263ec4a896c9b00065f,CORRECCIÓN TEST 1... IMPORTANTE!,,
HG,course-v1:UTPL+HG+2016,584349ffec4a896c9b00066d,,"Por favor aclarar si el material de estudio es el correcto, pues crea confusión en relación a test.",18,0,583f6ff9ec4a89c76100058f,Test 1,,
HG,course-v1:UTPL+HG+2016,5844522bec4a8938d4000660,,hay problemas en el test deberían corregir las contradicciones y permitir enviemos de nuevo.,14,0,583ed2e3ec4a89449800065a,TEST 1,,583ef5a3ec4a89449800065f
HG,course-v1:UTPL+HG+2016,5844d08dec4a896c9b00067f,,También me quede frustada!!!!!,4,1,58431263ec4a896c9b00065f,CORRECCIÓN TEST 1... IMPORTANTE!,,
HG,course-v1:UTPL+HG+2016,5844f4c0ec4a89c76100061f,,"Partiendo de los conceptos de agricultura urbana y periurbana considero que los productos obtenidos de la agricultura urbana como la periurbana se pueden utilizar para el autoconsumo pero su sistema de comercialización es diferente ya que los productos de la agricultura periurbana son considerados como mejores en cuanto a la cantidad del producto y el beneficio económico que se obtendrá, esto es lo que la diferencia de la agricultura urbana ya que esta se centra más en el autoconsumo personal.",80,0,5844eba3ec4a8938d400067a,Agricultura Urbana y periurbana,,
